,Restaurants,lat-long
169,dolma aunty momos lajpat nagar 2 new delhi,"28.5689336116,77.2407018766"
170,milano pizza by doodles cakes kapashera new delhi,"28.5274628293,77.0856973529"
171,ashirwad restaurant sector 16 faridabad,"28.4093441496,77.3200845346"
172,roadhouse cafe greater kailash gk 1 new delhi,"28.5500094316,77.2358809412"
173,ricos delhi university gtb nagar new delhi,"28.6942092943,77.2041044757"
174,roms pizza gaur city 2 greater noida,"28.6211414000,77.4191828000"
175,puran dhaba ashok vihar new delhi,"28.6802693813,77.1724936366"
176,rooh burger cafe rajouri garden new delhi,"28.6460689578,77.1170530468"
177,yeti the himalayan kitchen green park new delhi,"28.5563700000,77.2062830000"
178,farzi cafe connaught place new delhi,"28.6324804801,77.2211901471"
179,bread more greater kailash gk 1 new delhi,"28.5564377266,77.2329140827"
180,lemorich cafe vasant kunj new delhi,"28.5186660224,77.1641868353"
181,butterchickencompany,"28.5503766808,77.2351517156"
182,classic karkardooma new delhi,"28.6483569243,77.3023202643"
183,railway yard gujranwala town new delhi,"28.6936781440,77.1851962432"
184,chakkhna beyond peanuts sector 49 gurgaon,"28.4117513841,77.0489953458"
185,pizza factory sector 53 gurgaon,"28.4345924693,77.0961955190"
186,harish bakery 3 old railway road gurgaon,"28.4698625000,77.0169812000"
187,cake n flower sector 10 noida,"28.5919695000,77.3343546000"
188,momo addiction satyaniketan new delhi,"28.5877457547,77.1686822176"
189,mr crust bakers ashok vihar new delhi,"28.6910385279,77.1762453765"
190,cafe uncover sector 12 dwarka new delhi,"28.5957570000,77.0410540000"
191,bikkgane biryani sector 39 gurgaon,"28.4434200000,77.0514960000"
192,sana di ge chanakyapuri new delhi,"28.6019175604,77.1870918944"
193,al jawahar jama masjid new delhi,"28.6495147176,77.2335464135"
194,prem chinese fast food janakpuri new delhi,"28.6158134411,77.0899077505"
195,malabar taste buds 1 dlf phase 3 gurgaon,"28.4851382247,77.1037955582"
196,kake da hotel sector 31 faridabad,"28.4460070363,77.3169782013"
197,breakfast hut amritsari tandoori kulche chole krishna nagar new delhi,"28.6555056154,77.2821765393"
198,sargam sweets uttam nagar new delhi,"28.6209524792,77.0391764492"
199,kashmirana flavours of the valley south city 2 gurgaon,"28.4202236003,77.0516386628"
200,koris safdarjung new delhi,"28.5627637421,77.1936857700"
201,la kababiyaa sector 7 dwarka,"28.5851417452,77.0700077713"
202,roshan chicken corner indirapuram ghaziabad,"28.6438234000,77.3726379000"
203,master koiis sushant lok gurgaon,"28.4613383181,77.0780020952"
204,new punjabi khana 2 nehru place new delhi,"28.5496410032,77.2508590668"
205,papparoti jasola new delhi,"28.5381900000,77.2890930000"
206,gama fast food corner 1 rohini new delhi,"28.7356300000,77.1208550000"
207,zaffran connaught place new delhi,"28.6337676341,77.2213926539"
208,wood box cafe delhi university gtb nagar,"28.6957002000,77.2041983000"
209,wat a burger india ka burger janakpuri new delhi,"28.6216541072,77.0883812383"
210,rps standard punjabi khana nit faridabad,"28.3982541814,77.3064451665"
211,pikwik pitampura new delhi,"28.6938046086,77.1306297183"
212,olive bar kitchen mehrauli new delhi,"28.5257778773,77.1843540296"
213,gulshan dhaba old railway road gurgaon,"28.4579830769,77.0279101655"
214,big fat sandwich hauz khas new delhi,"28.5529771333,77.2077351809"
215,sandoz lajpat nagar 3 new delhi,"28.5652904511,77.2397460938"
216,vega pure vegetarian hotel alka classic connaught place new delhi,"28.6324831285,77.2163658589"
217,invitation ashok vihar phase 2 new delhi,"28.6964153335,77.1794385463"
218,carnatic cafe greater kailash gk 2 new delhi,"28.5335732057,77.2421609983"
219,the pasta bowl company dlf phase 4 gurgaon,"28.4681993855,77.0833189040"
220,tmos moving feast sector 86 faridabad,"28.4199542999,77.3502960205"
221,joshi eating house laxmi nagar,"28.6297360290,77.2801494598"
222,cold rock cafe sector 72 noida,"28.5664165911,77.3813663051"
223,raju chur chur naan 1 sector 12 dwarka new delhi,"28.5915800000,77.0453060000"
224,amul geeta colony new delhi,"28.6575562468,77.2755122557"
225,ministry of beer connaught place new delhi,"28.6333279907,77.2226573154"
226,bercos sector 12 noida,"28.5939385928,77.3394440487"
227,uncles sip bite prashant vihar new delhi,"28.7103189860,77.1336921304"
228,bikaners sweets indirapuram ghaziabad,"28.6359781828,77.3604752496"
229,al lazeez lajpat nagar 4 new delhi,"28.5629083273,77.2383857891"
230,greenr cafe vasant vihar new delhi,"28.5578197528,77.1645643562"
231,andreas eatery saket new delhi,"28.5283807044,77.2185203433"
232,prem di hatti rajouri garden new delhi,"28.6482027471,77.1213516220"
233,cafe crafted saket new delhi,"28.5227661056,77.2081070021"
234,munch nation jail road new delhi,"28.6339768613,77.0974471048"
235,la pinoz pizza ashok vihar new delhi,"28.6934570000,77.1727120000"
236,haldiram bhujiawala wazirpur new delhi,"28.6999556042,77.1587349102"
237,mutton king dlf phase 2 gurgaon,"28.4887427853,77.0854445547"
238,royal maggi pasta point 1 rohini new delhi,"28.7400130000,77.1187650000"
239,creme castle beta 1 greater noida,"28.4840690000,77.5078200000"
240,mangu chicken corner dhaba rohini new delhi,"28.7393686807,77.1160150319"
241,my gf good food naraina new delhi,"28.6382770000,77.1449770000"
242,NehruPlaceSocial,"28.5514572164,77.2514183074"
243,norenj wine dine fresh beer cafe south city 2 gurgaon,"28.4269932780,77.0570540428"
244,nooshe joon lajpat nagar 2 new delhi,"28.5703266628,77.2444804385"
245,scoops uttam nagar new delhi,"28.6204586292,77.0579556003"
246,vicky marinated momos lajpat nagar 4 new delhi,"28.5633738842,77.2406405210"
247,the cake affair sector 15 noida,"28.5832020000,77.3116090000"
248,starbucks coffee tagore garden new delhi,"28.6420534205,77.1066088602"
249,breadtalk saket new delhi,"28.5290225642,77.2195278481"
250,the clay oven green park new delhi,"28.5574239645,77.2048668936"
251,kwality dhaba subhash nagar new delhi,"28.6372308652,77.1012786403"
252,the mask cafe lounge crossing republik ghaziabad,"28.6260341729,77.4356190115"
253,garam masala crossing republik ghaziabad,"28.6261256982,77.4356035888"
254,hashtag bakery crossing republik ghaziabad,"28.6297736233,77.4353697501"
255,hashtag bakery crossing republik ghaziabad,"28.6297736233,77.4353697501"
256,silly souls chhatarpur new delhi,"28.5035990000,77.1850100000"
257,mithaas 1 sector 72 noida,"28.5712915704,77.3821793497"
258,punjabi zaika chittaranjan park new delhi,"28.5364798107,77.2532935068"
259,kritika home made chocolates cakes sector 10 dwarka new delhi,"28.5830710000,77.0620510000"
260,ah so yum golf course road gurgaon,"28.4416780000,77.0944960000"
261,pind balluchi karkardooma new delhi,"28.6496365279,77.3046671972"
262,six degree safdarjung new delhi,"28.5590495142,77.1965212002"
263,big yellow door satyaniketan new delhi,"28.5879056144,77.1673444659"
264,nazeer foods sector 72 noida,"28.5716010000,77.3824310000"
265,the cake point punjabi bagh new delhi,"28.6672742820,77.1157625690"
266,apna dhaba caterers mayapuri phase 2 new delhi,"28.6307477704,77.1190965548"
267,khansama express south city 2 gurgaon,"28.4186997070,77.0527490973"
268,parashar kitchen 1 sector 53 gurgaon,"28.4373300000,77.0959300000"
269,lala da shudh vaishno dhaba uttam nagar new delhi,"28.6224563825,77.0583857596"
270,taste of dilli alpha 1 greater noida,"28.4720660000,77.5129010000"
271,biryanis of india rohini new delhi,"28.7149160000,77.1162030000"
272,sethi restaurant tilak nagar new delhi,"28.6439460121,77.1029657498"
273,7seventeen the house of crafted food vasant vihar new delhi,"28.5574970000,77.1637390000"
274,sighri janakpuri new delhi,"28.6251707114,77.0763354376"
275,teekoy kerala family restaurant malviya nagar new delhi,"28.5291713196,77.2138931975"
276,tossin pizza sector 50 gurgaon,"28.4252955181,77.0579512417"
277,di ghent cafe dlf phase 4 gurgaon,"28.4682934060,77.0829990506"
278,getafix greater kailash gk 1 new delhi,"28.5501130979,77.2352526337"
279,moti mahal 1 sector 72 noida,"28.5808049959,77.3833364950"
280,momo hut gaur city 1 greater noida,"28.6150070000,77.4277000000"
281,the pizza kitchen sector 8 gurgaon,"28.4598182593,77.0204365253"
282,bhookemon,"28.5237874193,77.1920818090"
283,chicago pizza 1 sector 7 gurgaon,"28.4616200000,77.0147000000"
284,gung the palace green park new delhi,"28.5565846763,77.2052538022"
285,subway karkardooma new delhi,"28.6467168669,77.3017251492"
286,the hogwarts café 2 rohini new delhi,"28.7005243655,77.1067329124"
287,café dori 1 vasant vihar new delhi,"28.5588890000,77.1641670000"
288,dn snacks sector 4 gurgaon,"28.4751722942,77.0085516572"
289,wow momo 1 sector 15 faridabad,"28.3954006949,77.3240776733"
290,nomad pizza traveller series malviya nagar new delhi,"28.5390040266,77.2136199474"
291,wafflesome greater kailash gk 1 new delhi,"28.5513729886,77.2344332188"
292,echoes hudson lane delhi university gtb nagar new delhi,"28.6950454242,77.2042456269"
293,the chinese thai restaurant safdarjung new delhi,"28.5614604055,77.1928516030"
294,karims hajipur,"28.5384600000,77.3672600000"
295,mini sweets house sector 22 faridabad,"28.3648010000,77.2944750000"
296,the food story 1 sector 15 faridabad,"28.3954620000,77.3231630000"
297,ullu crossing republik ghaziabad,"28.6260341729,77.4356190115"
298,milan sweet house sector 10 faridabad,"28.3693642089,77.3285334930"
299,dheeraj vaishno dhaba udyog vihar gurgaon,"28.4906481549,77.0674432442"
300,dilli 19 kalkaji new delhi,"28.5437456779,77.2509539500"
301,dana choga dlf phase 1 gurgaon,"28.4716164896,77.1016518027"
302,madan sweets and restaurant 1 nehru nagar ghaziabad,"28.6537188561,77.4449752271"
303,dhaba a punjabi theme rajouri garden new delhi,"28.6476622422,77.1192558110"
304,sproutd udyog vihar gurgaon,"28.4987639796,77.0835280821"
305,pa pa ya saket new delhi,"28.5285368249,77.2184998915"
306,punjabi rasoi 1 shahdara new delhi,"28.7005608320,77.2770672664"
307,duty free rajouri garden new delhi,"28.6474674597,77.1182416007"
308,shiv shankar dhaba paschim vihar new delhi,"28.6745125779,77.1070266142"
309,amar shonar bangla chittaranjan park new delhi,"28.5360412330,77.2532492504"
310,baljeets amritsari koolcha 1 paschim vihar new delhi,"28.6624175835,77.1004518494"
311,singh o singh restaurant chander nagar new delhi,"28.6554567764,77.2821252421"
312,pizza hut uttam nagar new delhi,"28.6195703997,77.0347900316"
313,sanjha chulha sector 19 faridabad,"28.4173839751,77.3141132668"
314,music mountains hillside cafe greater kailash gk 1 new delhi,"28.5497829558,77.2357843816"
315,salad days malviya nagar new delhi,"28.5355198859,77.2103114426"
316,gulati da punjabi dhaba nit faridabad,"28.3956717426,77.3056814075"
317,007 pizza and burger laxmi nagar new delhi,"28.6429322980,77.2764218552"
318,kaiser dlf phase 4 gurgaon,"28.4614311657,77.0886779577"
319,the wild pressery dlf phase 4 gurgaon,"28.4646699000,77.0801026000"
320,chaayos meri wali chai connaught place new delhi,"28.6316291370,77.2203204408"
321,variations momos king rohini new delhi,"28.7078982794,77.1109037474"
322,flavorfox sector 50 gurgaon,"28.4254376380,77.0572662726"
323,kents fast food defence colony new delhi,"28.5739079949,77.2304300219"
324,zahra restaurant cafe jasola new delhi,"28.5625446555,77.2897192463"
325,barbeque nation connaught place new delhi,"28.6303528452,77.2207485884"
326,shawarma house golf course road gurgaon,"28.4426654593,77.1011146903"
327,maxims pastry shop kailash colony new delhi,"28.5528048516,77.2420587391"
328,tenali the andhra kitchen green park new delhi,"28.5562398300,77.2022611275"
329,hippie bus 1 anand vihar new delhi,"28.6573164692,77.3173007369"
330,hippie bus 1 anand vihar new delhi,"28.6573164692,77.3173007369"
331,khanna tandoori junction krishna nagar new delhi,"28.6598101299,77.2831109539"
332,mamas rajinder nagar new delhi,"28.6374180159,77.1819611639"
333,super cake shop sector 26 noida,"28.5764525128,77.3350948468"
334,patiala shahi rohini new delhi,"28.6989530592,77.1042156592"
335,tasim rajouri garden new delhi,"28.6401257785,77.1188853309"
336,jeet restaurant 1 chander nagar new delhi,"28.6550004537,77.2821788862"
337,shake eat up 1 delhi university gtb nagar new delhi,"28.6958765478,77.2041185573"
338,cafe delhi heights rajouri garden new delhi,"28.6505156762,77.1218585595"
339,nagalands kitchen green park new delhi,"28.5576518964,77.2057738155"
340,anupam restaurant cafe sector 28 faridabad,"28.4301165781,77.3159660026"
341,yangkiez sector 50 gurgaon,"28.4254741999,77.0578332245"
342,gianis jail road new delhi,"28.6339038820,77.0974310115"
343,om sai ram andhra mess sector 45 gurgaon,"28.4486418993,77.0717092976"
344,eggspectation jaypee siddharth rajendra place new delhi,"28.6427401951,77.1753746644"
345,gianis jail road new delhi,"28.6339038820,77.0974310115"
